Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
16S0088O_S2_L001_R1_001										6.003627430722961	1.4532681314140092	8.788484055375715	8.203044286796612	39.29793144615102	0.0	28.32610143030971
16S0088O_S2_L001_R2_001										5.810776683426315	2.690727093234153	10.285373189154441	11.887871065500379	29.834469775237043	0.0	27.8967789333517
16S0089C_S18_L001_R1_001										3.052928895984281	1.2833108191084366	4.096770232101191	3.0553849932457324	14.659830529288959	18.3206434974825	51.888124769740884
16S0089C_S18_L001_R2_001										4.111506815669901	2.1478570551393834	6.379098612305047	2.981088051086823	10.646567604077122	15.089033525727618	51.68242662409431
16S0089O_S26_L001_R1_001										3.5891098608413987	1.2879654291043345	6.1166844484698695	2.1384217434354444	41.70459691594452	8.648096835350737	30.560395446834963
16S0089O_S26_L001_R2_001										5.139580758809668	1.1329183393075075	11.158785106268661	3.975960025482987	27.867795491353437	19.565100588718405	22.28303001926575
16S0090C_S40_L001_R1_001										4.474721788022304	3.093577211114481	11.98702843944661	12.332314583673565	39.13165200755896	19.87961645241817	0.0
16S0090C_S40_L001_R2_001										6.189487436716981	3.0492499358421012	14.142733826377063	14.117070667008841	33.882369409514034	15.14359704173763	0.0
16S0090O_S33_L001_R1_001										4.0016113871357595	1.2842267172870099	4.383705457963549	5.76030209439636	25.161647358505153	11.445324739268608	43.02240886100158
16S0090O_S33_L001_R2_001										5.127140886507074	1.9409890498919637	6.425609661812159	5.573120760444515	21.077432034864557	12.35437495676518	39.325984431396
16S0092C_S53_L001_R1_001										4.170903439940141	0.8518312453235616	10.897300615850968	7.537939105577192	27.586669992133988	41.31381539819274	0.0
16S0092C_S53_L001_R2_001										5.579110949101165	1.6672102526715655	12.946300097845482	3.271108723596109	37.6628359841145	28.415478771367724	0.0
16S0092O_S47_L001_R1_001										11.76470588235294	0.0	0.0	0.0	0.0	0.0	0.0
16S0092O_S47_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
16S0093C_S65_L001_R1_001										3.639065048015945	1.4662076463127378	7.894183728936402	8.465301685087878	24.529806124297878	27.092589237180647	20.45950353324878
16S0093C_S65_L001_R2_001										4.940750135894183	2.2337379960137707	9.522739626743975	4.617503170864287	33.84453705381409	23.71878963580359	10.090233737996014
